Krankenhaus,Adresse,n_Betten,url
Westküstenklinikum Brunsbüttel,"Delbrückstrasse 2, 25541 Brunsbüttel",117,http://www.westkuestenklinikum.de/
Tagesklinik für Psychiatrie und Psychosomatik,"Lindenstraße 1-3, 25746 Heide",1,http://www.westkuestenklinikum.de
Schmerzklinik Kiel,"Heikendorfer Weg 9-27, 24149 Kiel",80,https://schmerzklinik.de/
Praxisklinik Kronshagen,"Eichkoppelweg 74, 24119 Kronshagen",3,http://praxisklinik-kronshagen.de/
Krankenhaus Rotes Kreuz Lübeck -Geriatriezentrum-,"Marlistr. 10, 23566 Lübeck",164,http://www.geriatrie-luebeck.de
Asklepios Klinik Bad Oldesloe,"Schützenstaße 55, 23843 Bad Oldesloe",173,http://www.asklepios.com/badoldesloe
Schön Klinik Bad Bramstedt SE &amp; Co. KG,"Birkenweg 10, 24576 Bad Bramstedt",321,http://www.Schoen-Klinik.de/Bad-Bramstedt
Klinik für Geriatrie Ratzeburg GmbH,"Röpersberg 47, 23909 Ratzeburg",69,https://www.ameos.eu/standorte/ameos-nord/ratzeburg/klinik-fuer-geriatrie-ratzeburg/
Förde-Klinik ein Haus der Diako Flensburg,"Mürwiker Str. 115, 24943 Flensburg",23,http://www.foerde-klinik.de
Henstedt-Ulzburg,"Wilstedter Straße 134, 24558 Henstedt-Ulzburg",184,https://www.paracelsus-kliniken.de/henstedt-ulzburg.html
Curtius Klinik GmbH &amp; Co. KG,"Neue Kampstrasse 2, 23714 Bad Malente",176,http://www.curtius-klinik.de
Parkklinik Manhagen GmbH &amp; Co. KG,"Sieker Landstraße 19, 22927 Großhansdorf",127,http://www.manhagen.de
Geesthacht,"Johannes-Ritter-Str. 100, 21502 Geesthacht",95,https://www.johanniter.de/einrichtungen/krankenhaus/startseite-248224/
HELIOS Klinik Kiel,"Hamburger Chaussee 77, 24113 Kiel",34,http://www.helios-kliniken.de/klinik/kiel.html
"VAMED Klinik Geesthacht: Akutbereich, enthalten sind nur die Daten der Patientinnen/Patienten der besonderen Einrichtung, ohne Patientinnen/Patienten aus dem Reha-Bereich","Johannes-Ritter-Straße 100, 21502 Geesthacht",70,https://www.vamed-gesundheit.de/geesthacht/
"UNIVERSITÄTSKLINIKUM Schleswig-Holstein, Campus Kiel","Arnold-Heller-Straße 3, 24105 Kiel",1.095,https://www.uksh.de
"UNIVERSITÄTSKLINIKUM Schleswig-Holstein, Campus Lübeck","Ratzeburger Allee 160, 23538 Lübeck",1.035,https://www.uksh.de
"UNIVERSITÄTSKLINIKUM Schleswig-Holstein, Standort WKK Heide","Esmarchstraße 50, 25746 Heide",1,http://www.uksh.de
Zentrum für Integrative Psychiatrie Kiel,"Niemannsweg 147, 24105 Kiel",234,http://www.zip-kiel.de
Psychiatrische Tagesklinik &quot;Villa Karlstal&quot;,"Karlstal 34, 24105 Kiel",25,http://www.zip-kiel.de
Tagesklinik Klaus Groth Platz,"Klaus-Groth-Platz 2, 24105 Kiel",20,https://www.zip-kiel.de
Median Klinik Lübeck,"Weidenweg 9- 15, 23562 Lübeck",27,http://www.median-kliniken.de
"Sana Kliniken Lübeck GmbH, Krankenhaus Süd","Kronsforder Allee 71-73, 23560 Lübeck",389,http://www.sana-luebeck.de
"Sana Kliniken Lübeck GmbH, Praxisklinik Travemünde","Am Dreilingsberg 7, 23570 Travemünde",28,http://www.sana-luebeck.de
Augenklinik Rendsburg GmbH,"Jungfernstieg 25, 24768 Rendsburg",20,http://www.augenklinik-rd.de
Zentrum für Integrative Psychiatrie,"Ratzeburger Allee 160, 23538 Lübeck",167,http://www.zip-luebeck.de
Psychiatrische Tagesklinik Neumünster gGmbH,"Parkstr. 17, 24534 Neumünster",34,http://www.tagesklinik-nms.de
Psychiatrisches Krankenhaus Rickling (TK Norderstedt),"Beim Umspannwerk 6 – 8, 22844 Norderstedt",45,https://www.tageskliniknorderstedt.de
Klinik Klosterstraße GmbH,"Klosterstraße 63-65, 24536 Neumünster",6,http://www.klinik-klosterstrasse.de
nordBLICK Augenklinik Bellevue GmbH,"Lindenallee 21/23, 24105 Kiel",18,https://augenklinik.nordblick.de
Universitätsklinikum Hamburg-Eppendorf,"Martinistraße 52, 20246 Hamburg",1.417,http://www.uke.de
Asklepios Klinik St. Georg,"Lohmühlenstr. 5, 20099 Hamburg",695,http://www.asklepios.com/sanktgeorg
Asklepios Klinik Barmbek,"Rübenkamp 220, 22291 Hamburg",640,http://www.asklepios.com/barmbek
Schön Klinik Hamburg Eilbek,"Dehnhaide 120, 22081 Hamburg",761,https://www.schoen-klinik.de/hamburg-eilbek
Asklepios Klinik Altona,"Paul-Ehrlich-Straße 1, 22763 Hamburg",657,http://www.asklepios.com/altona
Asklepios Klinikum Harburg,"Eißendorfer Pferdeweg 52, 21075 Hamburg",868,http://www.asklepios.com/harburg
Asklepios Klinikum Harburg - Wilhelmsburg,"Neuhöfer Straße 23, 21107 Hamburg",1,http://www.asklepios.com/harburg
Asklepios Klinikum Harburg - Neugraben,"Lütt Enn 4, 21149 Hamburg",1,http://www.asklepios.com/harburg
Asklepios Klinikum Harburg - Osdorf,"Kroonhorst 11, 22549 Hamburg",1,http://www.asklepios.com/harburg
Asklepios Westklinikum Hamburg GmbH,"Suurheid 20, 22559 Hamburg",517,http://www.asklepios.com/westklinikum/
Asklepios Klinik Wandsbek,"Alphonsstraße 14, 22043 Hamburg",553,http://www.asklepios.com/wandsbek/
Albertinen Krankenhaus,"Süntelstraße 11A, 22457 Hamburg",605,http://www.albertinen.de/krankenhaeuser/albertinen_krankenhaus
Albertinen Haus,"Sellhopsweg 18-22, 22459 Hamburg",127,http://www.albertinen.de/krankenhaeuser/geriatrische_klinik
AKK Altonaer Kinderkrankenhaus gGmbH,"Bleickenallee 38, 22763 Hamburg",236,https://kinderkrankenhaus.net
Ev. Amalie Sieveking - Krankenhaus,"Haselkamp 33, 22359 Hamburg",328,http://www.amalie.de
BG Klinikum Hamburg gGmbH,"Bergedorfer Straße 10, 21033 Hamburg",733,http://www.bg-klinikum-hamburg.de/
Evangelisches Krankenhaus Alsterdorf gemeinnützige GmbH,"Elisabeth-Flügge-Straße 1, 22337 Hamburg",252,http://www.evangelisches-krankenhaus-alsterdorf.de
Heinrich Sengelmann Krankenhaus,"Kayhuder Straße 65, 23863 Bargfeld-Stegen",220,https://www.heinrich-sengelmann-kliniken.de
Heinrich Sengelmann Tagesklinik Ahrensburg,"Carl-Barckmann-Straße 5, 22926 Ahrensburg",1,https://www.heinrich-sengelmann-kliniken.de/
Heinrich Sengelmann Tagesklinik Reinbek,"Kinauweg 9, 21465 Reinbek",1,https://www.heinrich-sengelmann-kliniken.de
Heinrich Sengelmann Tagesklinik Bargteheide,"Mittelweg 5-7, 22941 Bargteheide",1,https://www.heinrich-sengelmann-kliniken.de
Heinrich Sengelmann Tagesklinik Uhlenhosrt,"Winterhuder Weg 29-31, 22085 Hamburg",1,https://www.heinrich-sengelmann-kliniken.de
Israelitisches Krankenhaus in Hamburg,"Orchideenstieg 14, 22297 Hamburg",147,http://www.ik-h.de/
Katholisches Kinderkrankenhaus Wilhelmstift gGmbH,"Liliencronstraße 130, 22149 Hamburg",247,http://www.kkh-wilhelmstift.de
Helios ENDO-Klinik Hamburg,"Holstenstraße 2, 22767 Hamburg",204,https://www.helios-gesundheit.de/kliniken/hamburg-endo-klinik/
Krankenhaus Jerusalem,"Moorkamp 2-6, 20357 Hamburg",20,http://jerusalem-hamburg.de/
HELIOS Mariahilf Klinik Hamburg,"Stader Straße 203 c, 21075 Hamburg",176,http://www.helios-kliniken.de/klinik/hamburg-mariahilf-klinik.html
Kath. Marienkrankenhaus gemeinnützige GmbH,"Alfredstraße 9, 22087 Hamburg",585,http://www.marienkrankenhaus.org
Wilhelmsburger Krankenhaus Groß-Sand,"Groß-Sand 3, 21107 Hamburg ",208,http://www.krankenhaus-gross-sand.de
KLINIK DR. GUTH der Klinikgruppe Dr. Guth GmbH &amp; Co. KG,"Jürgensallee 46-48, 22609 Hamburg",100,http://www.drguth.de/klinik-dr-guth
Krankenhaus Tabea,"Kösterbergstr. 32, 22587 Hamburg",153,https://www.tabea-fachklinik.de
PRAXISKLINIK MÜMMELMANNSBERG der Klinikgruppe Dr. Guth GmbH &amp; Co. KG,"Oskar-Schlemmer-Str. 9-17, 22115 Hamburg",30,https://www.tk-pia-praxisklinik.de/
Asklepios Klinik Nord - Heidberg,"Tangstedter Landstraße 400, 22417 Hamburg",664,http://www.asklepios.com/nord
Asklepios Klinik Nord - Ochsenzoll,"Langenhorner Chaussee 560, 22419 Hamburg",624,https://www.asklepios.com/nord
Asklepios Klinik Nord - Wandsbek,"Jüthornstraße 71, 22043 Hamburg",130,https://www.asklepios.com/nord
Asklepios Klinik Nord - TK Volksd.,"Kattjahren 24, 22359 Hamburg",30,https://www.asklepios.com/nord
Asklepios Klinik Nord - TK Steilshoop,"Steilshooper Straße 293, 22309 Hamburg",25,https://www.asklepios.com/nord
Asklepios Klinik Nord - TK Horn,"Horner Landstrasse 302-304, 22043 Hamburg",25,https://www.asklepios.com/nord
Asklepios Klinik Nord - TK Alsteror,"Hohen Bleichen 22, 20354 Hamburg",24,https://www.asklepios.com/nord
Praxis-Klinik Bergedorf,"Alte Holstenstraße 2 und 16, 21031 Hamburg",18,http://www.praxis-klinik-bergedorf.de
"Bethesda - Allgemeines Krankenhaus gGmbH, Bergedorf","Glindersweg 80, 21029 Hamburg",352,http://www.klinik-bergedorf.de
Universitäres Herz- und Gefäßzentrum UKE Hamburg GmbH,"Martinistraße 52, 20246 Hamburg",270,http://www.uhz.de
Martini-Klinik am UKE GmbH,"Martinistraße 52, 20246 Hamburg",68,http://martini-klinik.de
Facharztklinik Hamburg,"Martinistrasse 78, 20251 Hamburg",90,http://www.facharztklinik-hamburg.de
AGAPLESION DIAKONIEKLINIKUM HAMBURG,"Hohe Weide 17, 20259 Hamburg",388,http://www.d-k-h.de
Bundeswehrkrankenhaus Hamburg,"Lesserstraße 180, 22049 Hamburg",307,http://www.bundeswehrkrankenhaus-hamburg.de
ATOS Klinik Fleetinsel GmbH &amp; Co. KG,"Admiraltätstr.  3-4, 20459 Hamburg",49,http://www.atos-kliniken.de
SKH Stadtteilklinik Hamburg,"Oskar-Schlemmer-Str. 9-17, 22115 Hamburg",15,http://www.stadtteilklinik-hamburg.de
Psychosomatische Tagesklinik Falkenried,"Jarrestraße 6, 22303 Hamburg",17,N/A
Deister Süntel Klinik,"Deisterallee 36, 31848 Bad Münder",50,http://www.dsk-bm.de
Klinikum Hann. Münden,"Vogelsang 105, 34346 Hann. Münden",158,http://www.khmue.de
Klinik für Psychosomatische Medizin und Psychotherapie,"An der Hössen 23, 26655 Westerstede",40,https://www.karl-jaspers-klinik.de/
AGAPLESION EV. KLINIKUM SCHAUMBURG,"Zum Schaumburger Klinikum 1, 31683 Obernkirchen",437,https://www.ev-klinikum-schaumburg.de
Stadtkrankenhaus Delmenhorst GmbH,"Wildeshauser Straße 92, 27753 Delmenhorst",289,http://www.jh-del.de
HELIOS Klinik Bad Gandersheim,"Albert-Rohloff-Straße 2, 37581 Bad Gandersheim",93,http://www.helios-gesundheit.de/klinik/bad-gandersheim.html
Asklepios Harzklinik Bad Harzburg,"Ilsenburger Straße 95, 38667 Bad Harzburg",66,http://www.asklepios.com/badharzburg
Klinik Dr. Muschinsky,"Wiesenbek 7 - 10, 37431 Bad Lauterberg",32,http://www.Muschinsky.de
Diabeteszentrum Bad Lauterberg,"Kirchberg 21, 37431 Bad Lauterberg",62,http://www.diabeteszentrum.de
Städtisches Klinikum Braunschweig gGmbH,"Freisestraße 9/10, 38118 Braunschweig",1.499,http://www.klinikum-braunschweig.de
Krankenhaus Marienstift,"Helmstedter Str. 35, 38102 Braunschweig",147,http://www.marienstift-braunschweig.de
Herzogin Elisabeth Hospital,"Leipziger Str. 24, 38124 Braunschweig",205,https://www.heh-bs.de
Kirchberg-Klinik Bad Lauterberg,"Kirchberg 7-11, 37431 Bad Lauterberg",35,http://www.kirchbergklinik.de
Asklepios Harzklinik Clausthal-Zellerfeld,"Windmühlenstraße 1, 38678 Clausthal-Zellerfeld",54,http://www.asklepios.com/clausthalzellerfeld
St. Martini gGmbH Krankenhaus Duderstadt,"Göttinger Str. 34, 37115 Duderstadt",140,https://www.krankenhaus-duderstadt.de/
Einbecker BürgerSpital GmbH,"Andershäuser Str. 8, 37574 Einbeck",103,http://www.einbecker-buergerspital.de
HELIOS Klinikum Gifhorn GmbH,"Campus 6, 38518 Gifhorn",370,https://www.helios-gesundheit.de/kliniken/gifhorn/
Universitätsmedizin Göttingen,"Robert-Koch-Straße 40, 37075 Göttingen",1.563,http://www.med.uni-goettingen.de
Asklepios Fachklinikum Göttingen,"Rosdorfer Weg 70, 37081 Göttingen",436,http://www.asklepios.com/goettingen
Asklepios Fachklinikum Göttingen - TK Seesen,"Tannenbusch 11, 38723 Seesen",16,http://www.asklepios.com/goettingen
Asklepios Fachklinikum Göttingen - TK Friedländer Weg,"Friedländer Weg 55, 37085 Göttingen",20,http://www.asklepios.com/goettingen
Evangelisches Krankenhaus Göttingen-Weende gGmbH,"An der Lutter 24, 37075 Göttingen",433,http://www.ekweende.de
Asklepios Harzklinik Goslar,"Kösliner Straße 12, 38642 Goslar",269,http://www.asklepios.com/goslar
HELIOS St. Marienberg Klinik Helmstedt,"Conringstraße 26, 38350 Helmstedt",315,http://www.helios-gesundheit.de/klinik/helmstedt.html
AWO Psychiatriezentrum,"Vor dem Kaiserdom 10, 38154 Königslutter am Elm",705,http://www.awo-psychiatriezentrum.de
"DR. FONTHEIM, Klinik für Psychiatrie, Psychotherapie und Psychosomatik","Lindenstraße 15, 38704 Liebenburg",345,http://www.fontheim.de
HELIOS Albert-Schweitzer-Klinik Northeim,"Albert-Schweitzer-Weg  1 , 37154 Northeim",210,https://www.helios-gesundheit.de/kliniken/Northeim
Helios Klinik Herzberg/Osterode,"Dr.-Frössel-Allee 1, 37412 Herzberg am Harz",214,http://www.helios-gesundheit.de/herzberg
Klinikum Peine gGmbH,"Virchowstraße 8h, 31226 Peine",287,http://www.klinikum-peine.de
Asklepios Fachklinikum Tiefenbrunn,"Tiefenbrunn _, 37124 Rosdorf",211,http://www.asklepios.com/tiefenbrunn
St. Elisabeth Krankenhaus Salzgitter gGmbH,"Liebenhaller Str. 20, 38259 Salzgitter",108,http://www.st-elisabeth-sz.de
Helios Klinikum Salzgitter GmbH,"Kattowitzer Str. 191, 38226 Salzgitter",307,https://www.helios-gesundheit.de/kliniken/salzgitter/
Helios Klinik Wittingen GmbH,"Gustav-Dobberkau-Straße 5, 29378 Wittingen",35,https://helios-gesundheit.de/kliniken/wittingen/
Städtisches Klinikum Wolfenbüttel gGmbH,"Alter Weg 80, 38302 Wolfenbüttel",283,http://www.klinikum-wolfenbuettel.de
Klinikum Wolfsburg,"Sauerbruchstraße 7, 38440 Wolfsburg",547,http://www.klinikum.wolfsburg.de/startseite/
Venenzentrum Braunschweig,"Kastanienallee 18-19, 38102 Braunschweig",21,https://www.venenzentrum-braunschweig.de/
Asklepios Kliniken Schildautal,"Karl-Herold-Straße 1, 38723 Seesen",319,http://www.asklepios.com/seesen
Evangelisches Krankenhaus Göttingen-Weende gGmbH - Krankenhaus Neu-Mariahilf,"Waldweg 9, 37073 Göttingen",104,http://www.ekweende.de
Augenklinik Dr. Hoffmann,"Wolfenbütteler Str. 82, 38102 Braunschweig",21,http://www.augenklinik-dr-hoffmann.de
AGAPLESION KRANKENHAUS NEU BETHLEHEM gGmbH,"Humboldtallee 8, 37073 Göttingen",100,http://www.neubethlehem.de
AMEOS Klinikum Alfeld,"Landrat-Beushausen-Str. 26, 31061 Alfeld",133,https://www.ameos.eu/standorte/ameos-west/alfeld/
"Kliniken Landkreis Diepholz gGmbH, Klinik Bassum","Marie-Hackfeld-Straße 6, 27211 Bassum",290,http://www.kliniken-lkd.de
Krankenhaus Lindenbrunn,"Lindenbrunn 1, 31863 Coppenbrügge",106,http://www.krankenhaus-lindenbrunn.de
"Kliniken Landkreis Diepholz gGmbH, Klinik Diepholz","Eschfeldstaße 8, 49356 Diepholz",130,http://www.kliniken-lkd.de
Johanniter-Krankenhaus Gronau GmbH,"Johanniterstraße 1-3, 31028 Gronau",111,https://www.johanniter-gronau.de
Gesundheitseinrichtungen Hameln-Pyrmont GmbH - Sana Klinikum Hameln-Pyrmont,"Saint-Maur-Platz 1, 31785 Hameln",402,http://www.sana-hm.de
Sophienklinik GmbH,"Bischofsholer Damm 160, 30173 Hannover",117,http://www.sophienklinik.de/
DRK-Krankenhaus Clementinenhaus,"Lützerodestraße 1, 30161 Hannover",195,http://www.clementinenhaus.de/
Kinder- und Jugendkrankenhaus AUF DER BULT,"Janusz-Korczak-Allee 12, 30173 Hannover",272,http://www.auf-der-bult.de/
"Kinder- und Jugendkrankenhaus AUF DER BULT, Tagesklinik und Ambulanz Celle","Fritzenwiese 15, 29221 Celle",12,https://www.auf-der-bult.de/kinder-und-jugendpsychiatrie-stationen-15-16-17-18-19-und-20/tagesklinik-und-institutsambulanz-celle/
DIAKOVERE Henriettenstift,"Marienstraße 72-90, 30171 Hannover",485,http://www.diakovere.de/henriettenstift
DIAKOVERE Friederikenstift,"Humboldtstraße 5, 30169 Hannover",428,http://www.diakovere.de/friederikenstift
KRH Klinikum Nordstadt,"Haltenhoffstraße 41, 30167 Hannover",428,https://nordstadt.krh.de/
