Krankenhaus,Adresse,n_Betten,url,address,lat,lng
Sana Kliniken Ostholstein GmbH - Klinik Oldenburg,"Mühlenkamp 5, 23758 Oldenburg i.H.",151.0,https://www.sana-oh.de,"Mühlenkamp 5, 23758 Oldenburg i.H.",54.2901765,10.8800273
Sana Kliniken Ostholstein GmbH - Inselklinik Fehmarn,"Mummendorfer Weg 12, 23769 Burg auf Fehmarn",28.0,https://www.sana-oh.de,"Mummendorfer Weg 12, 23769 Burg auf Fehmarn",54.4415849,11.1857733
"Sana Kliniken Ostholstein GmbH, Klinik Middelburg","Middelburger Str. 1, 23701 Süsel",100.0,http://www.sana-oh.de,"Middelburger Str. 1, 23701 Süsel",54.0824428,10.6831391
AMEOS Klinikum Neustadt,"Wiesenhof 1, 23730 Neustadt i. H.",276.0,http://www.ameos.eu,"Wiesenhof 1, 23730 Neustadt i. H.",54.1041528,10.795939
AMEOS Klinikum Lübeck,"Kahlhorststraße 33, 23562 Lübeck",276.0,http://www.ameos.eu,"Kahlhorststraße 33, 23562 Lübeck",53.8499862,10.6912242
AMEOS Klinikum Eutin,"Janusstraße 5, 23701 Eutin",276.0,http://www.ameos.eu,"Janusstraße 5, 23701 Eutin",54.1358828,10.6068152
AMEOS Klinikum Heiligenhafen,"Friedrich-Ebert-Straße 100, 23774 Heiligenhafen",332.0,http://www.ameos.eu,"Friedrich-Ebert-Straße 100, 23774 Heiligenhafen",54.37418,10.96229
AMEOS Klinikum Kiel,"Tiroler Ring 621-62, 24147 Kiel",332.0,http://www.ameos.eu,"Tiroler Ring 621-62, 24147 Kiel",54.2966025,10.1851784
AMEOS Klinikum Preetz,"Am Krankenhaus 5a, 24211 Preetz",332.0,http://www.ameos.eu,"Am Krankenhaus 5a, 24211 Preetz",54.23876,10.27638
AMEOS Klinikum Oldenburg,"Hoheluftstraße 10, 23758 Oldenburg i. H.",332.0,http://www.ameos.eu,"Hoheluftstraße 10, 23758 Oldenburg i. H.",54.292246,10.8807749
AMEOS Klinikum Oldenburg,"Mühlenkamp 5, 23758 Oldenburg i. H.",332.0,http://www.ameos.eu,"Mühlenkamp 5, 23758 Oldenburg i. H.",54.2903336,10.8799195
Sankt Elisabeth Krankenhaus Eutin,"Plöner Str. 42, 23701 Eutin",110.0,http://www.sek-eutin.de,"Plöner Str. 42, 23701 Eutin",54.1380501,10.6108502
Helios Agnes Karll Krankenhaus Bad Schwartau,"Am Hochkamp  21, 23611 Bad Schwartau",77.0,https://www.helios-gesundheit.de/kliniken/bad-schwartau/,"Am Hochkamp  21, 23611 Bad Schwartau",53.9223075,10.6940843
AUGUST-BIER-KLINIK - Neurologie und Rehabilitation,"Diekseepromendade 7-11, 23714 Bad Malente-Gremsmühlen",50.0,http://www.august-bier-klinik.de,"Diekseepromendade 7-11, 23714 Bad Malente-Gremsmühlen",54.16482,10.54767
Regio Kliniken GmbH - Klinikum Pinneberg,"Fahltskamp 74, 25421 Pinneberg",322.0,https://www.regiokliniken.de/,"Fahltskamp 74, 25421 Pinneberg",53.6549946,9.8110513
Regio Kliniken GmbH - Klinikum Elmshorn,"Agnes-Karll-Allee 17, 25337 Elmshorn",476.0,https://www.regiokliniken.de/,"Agnes-Karll-Allee 17, 25337 Elmshorn",53.75193,9.68275
Regio Kliniken GmbH - Tagesklinik Norderstedt,"Beim Umspannwerk 6, 22844 Norderstedt",17.0,https://www.regiokliniken.de/,"Beim Umspannwerk 6, 22844 Norderstedt",53.7367988,9.9882154
Klinik Preetz,"Am Krankenhaus 5, 24306 Plön",171.0,http://www.klinik-preetz.de,"Am Krankenhaus 5, 24306 Plön",54.23876,10.27638
Fachklinik Freudenholm-Ruhleben / Klinische Abteilung,"Missionsweg 3, 24306 Bösdorf",45.0,http://www.fachklinik-freudenholm-ruhleben.de,"Missionsweg 3, 24306 Bösdorf",54.13701,10.44597
imland GmbH - imland Klinik Eckernförde,"Schleswiger Str. 114-116, 24340 Eckernförde",226.0,http://www.imland.de,"Schleswiger Str. 114-116, 24340 Eckernförde",54.4823301,9.8178399
imland GmbH - imland Klinik Rendsburg,"Lilienstr. 20-28, 24768 Rendsburg",582.0,http://www.imland.de,"Lilienstr. 20-28, 24768 Rendsburg",54.2970377,9.6579514
HELIOS Klinik Schleswig GmbH,"St. Jürgener Straße 1-3, 24837 Schleswig",327.0,https://www.helios-gesundheit.de/kliniken/schleswig/,"St. Jürgener Straße 1-3, 24837 Schleswig",54.5220092,9.5705316
"HELIOS Fachklinik, Klinik für Erwachsenenpsychiatrie und Psychosomatische Medizin","St. Jürgener Str. 5a, 24837 Schleswig",327.0,https://www.helios-gesundheit.de/kliniken/schleswig/,"St. Jürgener Str. 5a, 24837 Schleswig",54.5220092,9.570532
HELIOS Tagesklinik Psychiatrie (Erwachsene),"Mühlental 1, 24837 Schleswig",20.0,https://www.helios-gesundheit.de/kliniken/schleswig/,"Mühlental 1, 24837 Schleswig",54.5249832,9.5640262
HELIOS Klinik für Kinder- und Jugendpsychiatrie und -Psychotherapie sowie Tagesklinik Baumhaus Schleswig,"Friedrich-Ebert-Straße 5, 24837 Schleswig",307.0,http://www.helios-gesundheit.de/klinik/schleswig.html,"Friedrich-Ebert-Straße 5, 24837 Schleswig",54.520965,9.5501938
"HELIOS Klinik für Kinder- und Jugendpsychiatrie und -Psychotherapie, Tagesklinik Baumhaus Husum","Theodor-Schäfer-Straße 1a, 25813 Husum",25.0,https://www.helios-gesundheit.de/kliniken/schleswig/,"Theodor-Schäfer-Straße 1a, 25813 Husum",54.48634,9.04966
Fachkrankenhaus für Psychiatrie und Psychotherapie und Tagesklinik für Psychiatrie und Psychotherapie,"Johannesallee 9, 24848 Kropp",37.0,http://www.diakonie-kropp.de/,"Johannesallee 9, 24848 Kropp",54.4084099,9.5170093
Margarethen Klinik gemeinnützige GmbH,"Konsul-Lorentzen-Straße 3, 24376 Kappeln",16.0,http://www.margarethen-klinik.de,"Konsul-Lorentzen-Straße 3, 24376 Kappeln",54.65881,9.92441
Medizinische Klinik Borstel,"Parkallee 35, 23845 Borstel",83.0,https://klinik.fz-borstel.de/index.php/de/,"Parkallee 35, 23845 Borstel",53.8211,10.19392
Psychiatrisches Krankenhaus Rickling,"Daldorfer Straße 2, 24635 Rickling",350.0,http://www.pkh-rickling.de,"Daldorfer Straße 2, 24635 Rickling",53.9995278,10.1746951
Klinikum Bad Bramstedt GmbH,"Oskar-Alexander-Straße 26, 24576 Bad Bramstedt",213.0,http://www.klinikumbadbramstedt.de,"Oskar-Alexander-Straße 26, 24576 Bad Bramstedt",53.9041898,9.8942557
SEGEBERGER KLINIKEN GMBH Am Kurpark,"Am Kurpark 1, 23795 Bad Segeberg",230.0,http://www.segebergerkliniken.de,"Am Kurpark 1, 23795 Bad Segeberg",53.94339,10.3083399
PRAXISKLINIK NORDERSTEDT,"Heidbergstraße 98, 22846 Norderstedt",19.0,http://www.segebergerkliniken.de,"Heidbergstraße 98, 22846 Norderstedt",53.7045685,9.994538
AK SEGEBERGER KLINIKEN GMBH,"Krankenhausstraße 2, 23795 Bad Segeberg",192.0,http://www.segebergerkliniken.de,"Krankenhausstraße 2, 23795 Bad Segeberg",53.9413943,10.3096373
Psychosomatische Tagesklinik,"Kurhausstraße 77, 23795 Bad Segeberg",1.0,http://www.segebergerkliniken.de,"Kurhausstraße 77, 23795 Bad Segeberg",53.942501,10.3066061
Neurologisches Zentrum,"Hamdorfer Weg 3, 23795 Bad Segeberg",101.0,http://www.segebergerkliniken.de,"Hamdorfer Weg 3, 23795 Bad Segeberg",53.95199,10.29521
Klinikum Itzehoe,"Robert-Koch-Str. 2, 25524 Itzehoe",600.0,http://www.klinikum-itzehoe.de,"Robert-Koch-Str. 2, 25524 Itzehoe",53.9422269,9.5040823
Krankenhaus Reinbek St. Adolf-Stift GmbH,"Hamburger Straße 41, 21465 Reinbek",351.0,http://www.krankenhaus-reinbek.de,"Hamburger Straße 41, 21465 Reinbek",53.510088,10.240314
DRK-Norddeutsches Epilepsiezentrum für Kinder und Jugendliche,"Henry-Dunant-Str. 6 - 10, 24223 Schwentinental",12.0,http://www.drk-epilepsiezentrum.de,"Henry-Dunant-Str. 6 - 10, 24223 Schwentinental",54.2887332,10.2102964
VAMED Ostseeklinik Damp,"Seute-Deern-Ring 20, 24351 Damp",164.0,https://www.vamed-gesundheit.de/damp-ostseeklinik/,"Seute-Deern-Ring 20, 24351 Damp",54.5863917,10.0226684
Kinderzentrum Pelzerhaken,"Zum Leuchtturm 4, 23730 Neustadt in Holstein",36.0,http://www.kinderzentrum-pelzerhaken.de,"Zum Leuchtturm 4, 23730 Neustadt in Holstein",54.0885636,10.8633871
Paracelsus-Nordseeklinik Helgoland,"Invasorenpfad 1040, 27498 Helgoland",34.0,https://www.paracelsus-kliniken.de/helgoland.html,"Invasorenpfad 1040, 27498 Helgoland",54.1786984,7.8863887
FEK - Friedrich-Ebert-Krankenhaus Neumünster GmbH,"Friesenstraße 11, 24534 Neumünster",640.0,http://www.friedrich-ebert-krankenhaus.de/,"Friesenstraße 11, 24534 Neumünster",54.0656284,9.9929194
CURSCHMANN KLINIK der Klinikgruppe Dr. Guth GmbH &amp; Co. KG,"Saunaring 6, 23669 Timmendorfer Strand",30.0,https://www.drguth.de/curschmann-klinik,"Saunaring 6, 23669 Timmendorfer Strand",53.998146,10.78352
Vorwerker Fachklinik Kinder- und Jugendpsychiatrie (stat. Bereich Lübeck),"Triftstraße 139-143, 23554 Lübeck",47.0,https://www.vorwerker-diakonie.de,"Triftstraße 139-143, 23554 Lübeck",53.89208,10.68109
Vorwerker Fachklinik (Tagesklinik Lübeck),"Triftstraße 139-143, 23554 Lübeck",9.0,https://www.vorwerker-diakonie.de,"Triftstraße 139-143, 23554 Lübeck",53.89208,10.68109
Vorwerker Fachklinik (Tagesklinik Büchen),"Lauenburger Straße 39, 21514 Büchen",10.0,https://www.vorwerker-diakonie.de,"Lauenburger Straße 39, 21514 Büchen",53.4725387,10.6232309
Vorwerker Fachklinik (Tagesklinik Eutin),"Hospitalstraße 22, 23701 Eutin",10.0,https://www.vorwerker-diakonie.de,"Hospitalstraße 22, 23701 Eutin",54.132792,10.6007115
Schön Klinik Neustadt,"Am Kiebitzberg 10, 23730 Neustadt in Holstein",357.0,http://www.schoen-klinik.de,"Am Kiebitzberg 10, 23730 Neustadt in Holstein",54.09088,10.82916
Westküstenklinikum Heide,"Esmarchstraße 50, 25746 Heide",630.0,http://www.westkuestenklinikum.de,"Esmarchstraße 50, 25746 Heide",54.2002794,9.0805534
Westküstenklinikum Brunsbüttel,"Delbrückstrasse 2, 25541 Brunsbüttel",117.0,http://www.westkuestenklinikum.de/,"Delbrückstrasse 2, 25541 Brunsbüttel",53.8996211,9.1456193
Tagesklinik für Psychiatrie und Psychosomatik,"Lindenstraße 1-3, 25746 Heide",1.0,http://www.westkuestenklinikum.de,"Lindenstraße 1-3, 25746 Heide",54.19873,9.08751
Schmerzklinik Kiel,"Heikendorfer Weg 9-27, 24149 Kiel",80.0,https://schmerzklinik.de/,"Heikendorfer Weg 9-27, 24149 Kiel",54.3291447,10.1830323
Praxisklinik Kronshagen,"Eichkoppelweg 74, 24119 Kronshagen",3.0,http://praxisklinik-kronshagen.de/,"Eichkoppelweg 74, 24119 Kronshagen",54.3375844,10.0980155
Krankenhaus Rotes Kreuz Lübeck -Geriatriezentrum-,"Marlistr. 10, 23566 Lübeck",164.0,http://www.geriatrie-luebeck.de,"Marlistr. 10, 23566 Lübeck",53.8729848,10.7085374
Asklepios Klinik Bad Oldesloe,"Schützenstaße 55, 23843 Bad Oldesloe",173.0,http://www.asklepios.com/badoldesloe,"Schützenstaße 55, 23843 Bad Oldesloe",53.8127849,10.3637812
Schön Klinik Bad Bramstedt SE &amp; Co. KG,"Birkenweg 10, 24576 Bad Bramstedt",321.0,http://www.Schoen-Klinik.de/Bad-Bramstedt,"Birkenweg 10, 24576 Bad Bramstedt",53.9043808,9.8880976
Klinik für Geriatrie Ratzeburg GmbH,"Röpersberg 47, 23909 Ratzeburg",69.0,https://www.ameos.eu/standorte/ameos-nord/ratzeburg/klinik-fuer-geriatrie-ratzeburg/,"Röpersberg 47, 23909 Ratzeburg",53.6824566,10.769267
Förde-Klinik ein Haus der Diako Flensburg,"Mürwiker Str. 115, 24943 Flensburg",23.0,http://www.foerde-klinik.de,"Mürwiker Str. 115, 24943 Flensburg",54.80445,9.45567
Henstedt-Ulzburg,"Wilstedter Straße 134, 24558 Henstedt-Ulzburg",184.0,https://www.paracelsus-kliniken.de/henstedt-ulzburg.html,"Wilstedter Straße 134, 24558 Henstedt-Ulzburg",53.7494854,10.0082717
Curtius Klinik GmbH &amp; Co. KG,"Neue Kampstrasse 2, 23714 Bad Malente",176.0,http://www.curtius-klinik.de,"Neue Kampstrasse 2, 23714 Bad Malente",54.171499,10.5659558
Parkklinik Manhagen GmbH &amp; Co. KG,"Sieker Landstraße 19, 22927 Großhansdorf",127.0,http://www.manhagen.de,"Sieker Landstraße 19, 22927 Großhansdorf",53.6633229,10.2572827
Geesthacht,"Johannes-Ritter-Str. 100, 21502 Geesthacht",95.0,https://www.johanniter.de/einrichtungen/krankenhaus/startseite-248224/,"Johannes-Ritter-Str. 100, 21502 Geesthacht",53.4266449,10.3827962
HELIOS Klinik Kiel,"Hamburger Chaussee 77, 24113 Kiel",34.0,http://www.helios-kliniken.de/klinik/kiel.html,"Hamburger Chaussee 77, 24113 Kiel",54.3045243,10.1166708
"VAMED Klinik Geesthacht: Akutbereich, enthalten sind nur die Daten der Patientinnen/Patienten der besonderen Einrichtung, ohne Patientinnen/Patienten aus dem Reha-Bereich","Johannes-Ritter-Straße 100, 21502 Geesthacht",70.0,https://www.vamed-gesundheit.de/geesthacht/,"Johannes-Ritter-Straße 100, 21502 Geesthacht",53.4266449,10.3827962
"UNIVERSITÄTSKLINIKUM Schleswig-Holstein, Campus Kiel","Arnold-Heller-Straße 3, 24105 Kiel",1.095,https://www.uksh.de,"Arnold-Heller-Straße 3, 24105 Kiel",54.3298132,10.1406978
"UNIVERSITÄTSKLINIKUM Schleswig-Holstein, Campus Lübeck","Ratzeburger Allee 160, 23538 Lübeck",1.035,https://www.uksh.de,"Ratzeburger Allee 160, 23538 Lübeck",53.8342754,10.703648
"UNIVERSITÄTSKLINIKUM Schleswig-Holstein, Standort WKK Heide","Esmarchstraße 50, 25746 Heide",1.0,http://www.uksh.de,"Esmarchstraße 50, 25746 Heide",54.2002794,9.0805534
Zentrum für Integrative Psychiatrie Kiel,"Niemannsweg 147, 24105 Kiel",234.0,http://www.zip-kiel.de,"Niemannsweg 147, 24105 Kiel",54.3433174,10.1477113
Psychiatrische Tagesklinik &quot;Villa Karlstal&quot;,"Karlstal 34, 24105 Kiel",25.0,http://www.zip-kiel.de,"Karlstal 34, 24105 Kiel",54.3102969,10.1450104
Tagesklinik Klaus Groth Platz,"Klaus-Groth-Platz 2, 24105 Kiel",20.0,https://www.zip-kiel.de,"Klaus-Groth-Platz 2, 24105 Kiel",54.33212,10.14428
Median Klinik Lübeck,"Weidenweg 9- 15, 23562 Lübeck",27.0,http://www.median-kliniken.de,"Weidenweg 9- 15, 23562 Lübeck",53.8489521,10.692
"Sana Kliniken Lübeck GmbH, Krankenhaus Süd","Kronsforder Allee 71-73, 23560 Lübeck",389.0,http://www.sana-luebeck.de,"Kronsforder Allee 71-73, 23560 Lübeck",53.84896,10.68728
"Sana Kliniken Lübeck GmbH, Praxisklinik Travemünde","Am Dreilingsberg 7, 23570 Travemünde",28.0,http://www.sana-luebeck.de,"Am Dreilingsberg 7, 23570 Travemünde",53.9622747,10.8574202
Augenklinik Rendsburg GmbH,"Jungfernstieg 25, 24768 Rendsburg",20.0,http://www.augenklinik-rd.de,"Jungfernstieg 25, 24768 Rendsburg",54.3006774,9.6658044
Zentrum für Integrative Psychiatrie,"Ratzeburger Allee 160, 23538 Lübeck",167.0,http://www.zip-luebeck.de,"Ratzeburger Allee 160, 23538 Lübeck",53.8342754,10.703648
Psychiatrische Tagesklinik Neumünster gGmbH,"Parkstr. 17, 24534 Neumünster",34.0,http://www.tagesklinik-nms.de,"Parkstr. 17, 24534 Neumünster",54.0745684,9.9880384
Psychiatrisches Krankenhaus Rickling (TK Norderstedt),"Beim Umspannwerk 6 – 8, 22844 Norderstedt",45.0,https://www.tageskliniknorderstedt.de,"Beim Umspannwerk 6 – 8, 22844 Norderstedt",53.7367988,9.9882154
Klinik Klosterstraße GmbH,"Klosterstraße 63-65, 24536 Neumünster",6.0,http://www.klinik-klosterstrasse.de,"Klosterstraße 63-65, 24536 Neumünster",54.07879,9.99475
nordBLICK Augenklinik Bellevue GmbH,"Lindenallee 21/23, 24105 Kiel",18.0,https://augenklinik.nordblick.de,"Lindenallee 21/23, 24105 Kiel",54.34546,10.1488101
Universitätsklinikum Hamburg-Eppendorf,"Martinistraße 52, 20246 Hamburg",1.417,http://www.uke.de,"Martinistraße 52, 20246 Hamburg",53.5902421,9.9785922
Asklepios Klinik St. Georg,"Lohmühlenstr. 5, 20099 Hamburg",695.0,http://www.asklepios.com/sanktgeorg,"Lohmühlenstr. 5, 20099 Hamburg",53.5585033,10.0186905
Asklepios Klinik Barmbek,"Rübenkamp 220, 22291 Hamburg",640.0,http://www.asklepios.com/barmbek,"Rübenkamp 220, 22291 Hamburg",53.6066768,10.037592
Schön Klinik Hamburg Eilbek,"Dehnhaide 120, 22081 Hamburg",761.0,https://www.schoen-klinik.de/hamburg-eilbek,"Dehnhaide 120, 22081 Hamburg",53.5776805,10.0527333
Asklepios Klinik Altona,"Paul-Ehrlich-Straße 1, 22763 Hamburg",657.0,http://www.asklepios.com/altona,"Paul-Ehrlich-Straße 1, 22763 Hamburg",53.5545532,9.9024204
Asklepios Klinikum Harburg,"Eißendorfer Pferdeweg 52, 21075 Hamburg",868.0,http://www.asklepios.com/harburg,"Eißendorfer Pferdeweg 52, 21075 Hamburg",53.4595995,9.9501921
Asklepios Klinikum Harburg - Wilhelmsburg,"Neuhöfer Straße 23, 21107 Hamburg",1.0,http://www.asklepios.com/harburg,"Neuhöfer Straße 23, 21107 Hamburg",53.51039,9.9855806
Asklepios Klinikum Harburg - Neugraben,"Lütt Enn 4, 21149 Hamburg",1.0,http://www.asklepios.com/harburg,"Lütt Enn 4, 21149 Hamburg",53.47145,9.85352
Asklepios Klinikum Harburg - Osdorf,"Kroonhorst 11, 22549 Hamburg",1.0,http://www.asklepios.com/harburg,"Kroonhorst 11, 22549 Hamburg",53.5882456,9.8489628
Asklepios Westklinikum Hamburg GmbH,"Suurheid 20, 22559 Hamburg",517.0,http://www.asklepios.com/westklinikum/,"Suurheid 20, 22559 Hamburg",53.5823709,9.7762841
Asklepios Klinik Wandsbek,"Alphonsstraße 14, 22043 Hamburg",553.0,http://www.asklepios.com/wandsbek/,"Alphonsstraße 14, 22043 Hamburg",53.5698592,10.0884579
Albertinen Krankenhaus,"Süntelstraße 11A, 22457 Hamburg",605.0,http://www.albertinen.de/krankenhaeuser/albertinen_krankenhaus,"Süntelstraße 11A, 22457 Hamburg",53.6310227,9.9050566
Albertinen Haus,"Sellhopsweg 18-22, 22459 Hamburg",127.0,http://www.albertinen.de/krankenhaeuser/geriatrische_klinik,"Sellhopsweg 18-22, 22459 Hamburg",53.62774,9.92902
AKK Altonaer Kinderkrankenhaus gGmbH,"Bleickenallee 38, 22763 Hamburg",236.0,https://kinderkrankenhaus.net,"Bleickenallee 38, 22763 Hamburg",53.5520972,9.9129731
Ev. Amalie Sieveking - Krankenhaus,"Haselkamp 33, 22359 Hamburg",328.0,http://www.amalie.de,"Haselkamp 33, 22359 Hamburg",53.6411947,10.1497472
BG Klinikum Hamburg gGmbH,"Bergedorfer Straße 10, 21033 Hamburg",733.0,http://www.bg-klinikum-hamburg.de/,"Bergedorfer Straße 10, 21033 Hamburg",53.5065191,10.1773655
Evangelisches Krankenhaus Alsterdorf gemeinnützige GmbH,"Elisabeth-Flügge-Straße 1, 22337 Hamburg",252.0,http://www.evangelisches-krankenhaus-alsterdorf.de,"Elisabeth-Flügge-Straße 1, 22337 Hamburg",53.6141746,10.0245764
Heinrich Sengelmann Krankenhaus,"Kayhuder Straße 65, 23863 Bargfeld-Stegen",220.0,https://www.heinrich-sengelmann-kliniken.de,"Kayhuder Straße 65, 23863 Bargfeld-Stegen",53.75758,10.1536299
Heinrich Sengelmann Tagesklinik Ahrensburg,"Carl-Barckmann-Straße 5, 22926 Ahrensburg",1.0,https://www.heinrich-sengelmann-kliniken.de/,"Carl-Barckmann-Straße 5, 22926 Ahrensburg",53.6727594,10.2414833
Heinrich Sengelmann Tagesklinik Reinbek,"Kinauweg 9, 21465 Reinbek",1.0,https://www.heinrich-sengelmann-kliniken.de,"Kinauweg 9, 21465 Reinbek",53.52154,10.24607
Heinrich Sengelmann Tagesklinik Bargteheide,"Mittelweg 5-7, 22941 Bargteheide",1.0,https://www.heinrich-sengelmann-kliniken.de,"Mittelweg 5-7, 22941 Bargteheide",53.7307397,10.2631229
Heinrich Sengelmann Tagesklinik Uhlenhosrt,"Winterhuder Weg 29-31, 22085 Hamburg",1.0,https://www.heinrich-sengelmann-kliniken.de,"Winterhuder Weg 29-31, 22085 Hamburg",53.57438,10.02136
Israelitisches Krankenhaus in Hamburg,"Orchideenstieg 14, 22297 Hamburg",147.0,http://www.ik-h.de/,"Orchideenstieg 14, 22297 Hamburg",53.60604,9.99125
Katholisches Kinderkrankenhaus Wilhelmstift gGmbH,"Liliencronstraße 130, 22149 Hamburg",247.0,http://www.kkh-wilhelmstift.de,"Liliencronstraße 130, 22149 Hamburg",53.5864982,10.1640454
Helios ENDO-Klinik Hamburg,"Holstenstraße 2, 22767 Hamburg",204.0,https://www.helios-gesundheit.de/kliniken/hamburg-endo-klinik/,"Holstenstraße 2, 22767 Hamburg",53.5508395,9.9549819
Krankenhaus Jerusalem,"Moorkamp 2-6, 20357 Hamburg",20.0,http://jerusalem-hamburg.de/,"Moorkamp 2-6, 20357 Hamburg",53.5694277,9.9665138
